"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"modelo 2 - complejo - random walker.nlogo"
"complex_experiment_100"
"09/23/2024 10:38:20:394 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"1","303","14","15"
"1","304","14","15"
"1","305","14","15"
"1","306","14","15"
"1","307","14","15"
"1","308","15","15"
"1","309","15","15"
"1","310","15","15"
"1","311","15","15"
"1","312","15","15"
"1","313","15","15"
"1","314","14","15"
"1","315","14","15"
"1","316","14","15"
"1","317","14","15"
"1","318","14","15"
"1","319","14","15"
"1","320","14","16"
"1","321","14","15"
"1","322","14","15"
"1","323","14","15"
"1","324","14","15"
"1","325","14","15"
"1","326","14","15"
"1","327","14","15"
"1","328","14","15"
"1","329","14","15"
"1","330","14","15"
"1","331","14","15"
"1","332","14","15"
"1","333","14","15"
"1","334","14","15"
"1","335","14","15"
"1","336","14","15"
"1","337","14","15"
"1","338","14","15"
"1","339","14","15"
"1","340","14","15"
"1","341","13","15"
"1","342","14","15"
"1","343","14","15"
"1","344","13","15"
"1","345","14","15"
"1","346","13","15"
"1","347","14","15"
"1","348","14","15"
"1","349","14","15"
"1","350","14","15"
"1","351","14","15"
"1","352","14","15"
"1","353","14","15"
"1","354","14","15"
"1","355","14","15"
"1","356","14","15"
"1","357","14","15"
"1","358","14","15"
"1","359","14","15"
"1","360","14","14"
"1","361","14","14"
"1","362","14","14"
"1","363","14","15"
"1","364","14","15"
"1","365","14","14"
"1","366","14","15"
"1","367","14","15"
"1","368","14","15"
"1","369","14","14"
"1","370","14","14"
"1","371","14","14"
"1","372","15","15"
"1","373","14","14"
"1","374","15","14"
"1","375","15","15"
"1","376","15","15"
"1","377","15","14"
"1","378","15","14"
"1","379","15","14"
"1","380","15","14"
"1","381","15","14"
"1","382","15","15"
"1","383","14","15"
"1","384","14","15"
"1","385","14","15"
"1","386","14","15"
"1","387","14","15"
"1","388","14","15"
"1","389","14","16"
"1","390","14","15"
"1","391","14","16"
"1","392","14","15"
"1","393","14","15"
"1","394","14","15"
"1","395","14","15"
"1","396","14","15"
"1","397","14","15"
"1","398","14","15"
"1","399","14","15"
"1","400","14","15"
"1","401","14","15"
"1","402","14","15"
"1","403","14","15"
"1","404","14","15"
"1","405","14","15"
"1","406","14","15"
"1","407","14","15"
"1","408","13","15"
"1","409","13","15"
"1","410","13","15"
"1","411","13","15"
"1","412","13","15"
"1","413","13","15"
"1","414","13","14"
"1","415","13","14"
"1","416","13","15"
"1","417","13","14"
