"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"modelo 3 - caotico - random walk.nlogo"
"chaotic_walk"
"02/10/2025 20:53:00:300 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"1","303","14","12"
"1","304","14","12"
"1","305","14","13"
"1","306","14","12"
"1","307","14","12"
"1","308","14","12"
"1","309","14","12"
"1","310","14","12"
"1","311","14","12"
"1","312","14","12"
"1","313","14","12"
"1","314","14","12"
"1","315","14","12"
"1","316","14","12"
"1","317","14","13"
"1","318","14","13"
"1","319","14","13"
"1","320","14","13"
"1","321","14","13"
"1","322","13","13"
"1","323","13","13"
"1","324","13","13"
"1","325","14","13"
"1","326","14","12"
"1","327","14","13"
"1","328","14","12"
"1","329","14","13"
"1","330","14","13"
"1","331","14","13"
"1","332","14","13"
"1","333","14","13"
"1","334","14","13"
"1","335","14","13"
"1","336","13","13"
"1","337","13","13"
"1","338","13","13"
"1","339","13","13"
"1","340","13","13"
"1","341","13","13"
"1","342","13","13"
"1","343","13","13"
"1","344","13","13"
"1","345","13","13"
"1","346","13","13"
"1","347","13","13"
"1","348","13","13"
"1","349","13","13"
"1","350","13","13"
"1","351","13","13"
"1","352","13","13"
"1","353","13","14"
"1","354","13","13"
"1","355","13","13"
"1","356","13","13"
"1","357","13","14"
"1","358","13","14"
"1","359","13","14"
"1","360","13","14"
"1","361","13","14"
"1","362","13","14"
"1","363","13","14"
"1","364","13","14"
"1","365","13","14"
"1","366","13","14"
"1","367","13","14"
"1","368","14","14"
"1","369","14","14"
"1","370","14","14"
"1","371","13","14"
"1","372","13","14"
"1","373","13","13"
"1","374","13","13"
"1","375","13","13"
"1","376","13","14"
"1","377","13","13"
"1","378","13","13"
"1","379","13","13"
"1","380","13","13"
"1","381","13","13"
"1","382","13","13"
"1","383","13","13"
"1","384","13","14"
"1","385","14","14"
"1","386","13","14"
"1","387","14","14"
"1","388","13","13"
"1","389","14","13"
"1","390","14","13"
"1","391","14","13"
"1","392","13","13"
"1","393","14","13"
"1","394","13","13"
"1","395","13","13"
"1","396","13","13"
"1","397","13","13"
"1","398","13","13"
"1","399","14","13"
"1","400","14","14"
"1","401","14","13"
"1","402","14","13"
"1","403","14","13"
"1","404","14","13"
"1","405","14","13"
"1","406","14","13"
"1","407","14","13"
"1","408","14","13"
"1","409","14","13"
"1","410","14","13"
"1","411","14","13"
"1","412","14","14"
"1","413","14","13"
"1","414","14","13"
"1","415","14","13"
"1","416","14","13"
"1","417","14","13"
"1","418","14","13"
"1","419","14","13"
"1","420","14","13"
"1","421","14","13"
"1","422","14","13"
"1","423","14","13"
"1","424","14","13"
"1","425","14","13"
"1","426","14","13"
"1","427","13","13"
"1","428","13","13"
"1","429","13","13"
"1","430","13","14"
"1","431","13","14"
"1","432","13","13"
"1","433","13","13"
"1","434","13","13"
"1","435","13","13"
"1","436","13","13"
"1","437","13","13"
"1","438","13","13"
"1","439","13","13"
"1","440","13","13"
"1","441","13","13"
"1","442","13","13"
"1","443","13","13"
"1","444","13","13"
"1","445","13","13"
"1","446","13","13"
"1","447","13","13"
"1","448","13","13"
"1","449","13","14"
"1","450","13","14"
"1","451","13","14"
"1","452","13","14"
"1","453","13","14"
"1","454","13","13"
"1","455","13","14"
"1","456","13","13"
"1","457","13","13"
"1","458","13","13"
"1","459","13","13"
"1","460","13","13"
"1","461","13","14"
"1","462","13","14"
"1","463","13","14"
"1","464","13","14"
"1","465","13","14"
"1","466","13","13"
"1","467","13","13"
"1","468","13","13"
"1","469","13","13"
"1","470","12","13"
"1","471","12","13"
"1","472","12","13"
"1","473","12","13"
"1","474","12","13"
"1","475","13","14"
"1","476","13","14"
"1","477","12","14"
"1","478","13","14"
"1","479","13","14"
"1","480","13","14"
"1","481","13","14"
"1","482","13","14"
"1","483","13","14"
"1","484","13","14"
"1","485","13","14"
"1","486","13","14"
"1","487","13","14"
"1","488","13","14"
"1","489","13","14"
"1","490","13","14"
"1","491","13","14"
"1","492","13","14"
"1","493","13","14"
"1","494","13","13"
"1","495","13","13"
"1","496","13","13"
"1","497","13","14"
"1","498","13","13"
"1","499","13","14"
"1","500","13","13"
"1","501","13","14"
"1","502","13","13"
"1","503","13","14"
"1","504","13","13"
"1","505","13","13"
"1","506","13","13"
"1","507","13","13"
"1","508","13","13"
"1","509","13","14"
"1","510","13","14"
"1","511","13","13"
"1","512","13","13"
"1","513","13","13"
"1","514","13","13"
"1","515","13","14"
"1","516","13","14"
"1","517","13","14"
"1","518","13","14"
"1","519","13","14"
"1","520","13","14"
"1","521","13","14"
"1","522","13","14"
"1","523","13","14"
"1","524","13","14"
"1","525","13","14"
"1","526","13","14"
"1","527","13","14"
"1","528","13","14"
"1","529","13","14"
"1","530","13","14"
"1","531","13","14"
"1","532","13","14"
"1","533","13","14"
"1","534","13","14"
"1","535","13","14"
"1","536","13","14"
"1","537","13","14"
"1","538","13","14"
"1","539","13","14"
"1","540","13","14"
"1","541","13","14"
"1","542","13","14"
